,q1a,q1b,q1c,q2b,q3b,q4a,q4b,q4c,q4d,q5a,q5b,q5c,q6a,q6b,q6c,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q8f,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q11a,q11b,q11c,q11d,q11e,q12a,q12b,q12c,q12d,q13a,q14a,q14b,q14c,q14d,q14e,q14f,q15a,q15b,q15c,q15d,q16a,q16b,q17a,q17b,q17c,q18b,q18c,q18g,age18,q20a,q20b,q20c,q21a,q21b,q21c,q22a,q22b,q22c,q22d1,q22d2,q22f,q23c,q24a,q24b,q24c,q24d,q25
602,4,5,5,2,2,1,2,1,6,6,6,6,6,6,6,2,2,1,3,2,2,4,5,5,6,5,4,3,6,6,6,6,4,4,5,6,6,5,4,1,1,2,3,3,1,8,1,2,6,2,5,1,2,1,5,1,1,5,27,3,6,1,0,1,2,2,1981,29,1,2,1,1,4,4,5,7,0,1,-1,0,1,4,4,4,4,4
603,5,2,6,-1,-1,1,4,1,4,5,3,4,4,4,4,2,1,2,2,2,2,2,3,5,4,1,2,2,2,3,2,3,3,2,2,4,2,4,3,1,3,2,2,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1977,33,1,2,1,2,2,1,2,7,0,3,-1,0,1,3,3,3,3,3
604,1,3,2,2,2,1,4,1,6,4,5,6,3,5,6,1,1,2,1,1,2,1,2,3,6,1,3,1,1,3,6,1,2,1,2,3,6,1,2,1,1,1,1,1,1,5,4,1,5,2,5,1,1,1,4,4,2,3,14,2,6,0,0,4,2,3,1993,17,6,6,4,5,4,4,1,-1,0,7,4,0,2,4,1,1,2,3
605,1,5,4,5,3,1,1,1,1,1,6,6,6,6,6,1,-1,2,2,8,8,1,1,6,6,1,6,2,1,3,6,1,6,2,3,6,6,1,6,4,4,4,4,4,1,1,2,3,6,4,2,8,8,8,8,8,1,6,14,3,6,0,0,4,1,10,1968,42,4,-1,-1,4,3,4,1,10,0,-1,-1,0,1,1,2,1,3,3
606,3,2,2,-1,-1,1,6,1,6,6,6,6,6,6,6,1,1,2,1,1,1,1,2,3,6,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,5,5,5,5,5,5,6,4,4,20,2,6,1,0,1,1,1,1986,24,5,4,5,1,4,-1,2,11,1,2,-1,0,2,3,3,3,3,2
607,6,1,1,3,3,1,5,1,4,1,1,3,2,6,6,2,2,1,1,1,2,1,5,5,6,1,4,3,3,6,6,1,6,6,6,6,6,6,6,2,1,2,4,1,1,8,7,3,6,5,5,2,3,5,5,5,5,3,18,4,6,0,1,1,1,1,1986,24,4,3,5,2,4,4,3,9,0,3,-1,0,3,4,4,3,4,4
608,1,1,1,1,1,1,1,1,6,1,1,6,3,6,6,1,1,2,1,1,1,1,3,6,6,6,6,1,3,6,6,6,6,2,3,3,6,6,6,4,4,3,3,2,1,1,4,3,6,2,4,2,3,1,5,6,1,1,10,3,1,1,0,1,1,1,1970,40,5,5,5,2,2,1,2,3,0,2,-1,0,2,4,4,4,4,4
609,6,4,2,2,2,1,4,1,3,6,2,6,5,6,3,1,2,1,8,8,2,2,5,4,6,4,1,2,4,4,6,4,1,2,3,1,6,1,1,2,3,2,2,3,1,8,1,3,6,5,5,5,4,4,5,6,4,4,22,5,6,1,1,-1,1,1,1966,44,5,4,5,-1,-1,4,1,1,0,-1,-1,0,2,2,2,2,2,2
610,5,4,3,4,3,1,6,1,6,5,5,3,5,4,4,2,2,3,3,2,1,4,5,2,5,3,4,5,5,4,6,5,5,4,5,3,5,3,3,1,2,2,1,2,1,7,3,2,4,4,5,1,5,2,2,3,5,5,17,3,4,1,-1,2,1,1,1975,35,5,4,5,3,4,3,3,8,1,1,-1,0,1,4,3,1,3,3
611,1,6,4,1,-1,1,1,1,1,6,6,6,6,6,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,3,2,2,1,1,1,1,1,6,2,4,1,2,2,4,6,3,2,14,3,4,0,0,3,1,1,1976,34,5,3,5,2,4,3,6,7,0,1,-1,0,1,4,4,4,4,5
612,4,5,4,3,-1,1,1,1,1,6,6,6,4,3,3,1,1,1,2,1,2,1,1,4,4,6,6,1,3,5,6,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,7,2,6,5,5,5,5,5,5,6,5,4,14,4,3,0,0,1,1,1,1988,22,5,5,5,1,3,3,3,7,0,2,-1,0,2,2,3,4,4,3
613,2,7,7,3,2,1,1,1,1,1,1,1,1,6,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,4,1,7,1,1,6,1,2,1,1,1,2,1,6,1,12,2,6,0,0,1,1,1,1986,24,4,4,4,1,4,3,3,2,0,2,2,0,1,3,2,2,2,2
614,2,6,6,3,3,1,5,1,6,6,6,5,5,4,6,2,2,2,2,2,2,1,5,2,6,2,4,1,2,1,6,1,3,1,2,1,6,1,2,2,3,4,4,4,1,1,7,6,6,8,8,8,8,8,8,-1,1,3,18,3,6,1,1,1,2,12,1991,19,5,5,5,1,2,3,3,-1,0,3,0,0,2,1,4,4,4,3
615,2,2,3,3,3,1,2,1,4,2,4,2,3,6,5,1,1,2,2,2,2,2,6,6,6,1,3,2,4,4,4,1,3,1,2,2,3,1,2,2,2,2,2,3,1,6,4,3,4,3,4,4,2,1,8,3,1,1,9,2,6,1,1,1,2,4,1986,24,4,3,3,2,2,4,5,8,0,1,0,0,2,3,3,2,3,4
616,1,7,7,1,2,1,1,1,4,6,6,6,4,3,5,2,2,2,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,4,1,3,1,2,8,8,2,2,8,2,4,12,2,1,1,1,4,2,3,1992,18,5,4,3,1,4,1,1,6,0,2,1,0,1,3,2,2,2,4
617,5,6,4,3,1,1,5,1,6,5,3,2,4,5,6,1,2,2,8,1,1,2,2,5,6,1,1,2,2,5,6,1,1,2,2,5,6,1,1,1,3,2,-1,1,-1,8,4,2,5,3,5,8,2,2,4,4,1,2,11,4,5,1,0,3,2,2,1991,19,2,2,1,2,4,3,1,1,0,3,-1,0,3,3,4,2,2,3
618,6,1,3,1,-1,1,1,1,6,6,6,6,4,2,3,2,2,1,8,8,2,1,2,4,6,3,1,1,3,2,6,1,1,1,2,3,6,1,1,1,1,1,1,1,1,7,2,3,3,3,3,1,1,2,3,2,2,5,10,2,2,1,1,1,1,3,1992,18,5,5,5,2,4,3,2,1,0,8,0,0,1,3,3,2,2,3
619,1,4,4,2,1,1,2,1,6,6,6,3,6,6,6,3,1,2,1,2,1,2,2,4,6,3,2,2,2,5,5,1,1,1,1,1,1,1,1,4,4,4,4,4,1,8,4,5,6,5,5,5,5,5,5,6,1,5,6,4,6,0,0,1,2,5,1981,29,3,4,3,1,3,5,4,2,0,1,0,0,2,4,3,3,3,3
